iter	Passed	Remaining
0	737	515783
1	1257	438817
2	1800	418278
3	2284	397432
4	2835	394073
5	3398	393127
6	3957	391816
7	4259	368462
8	4836	371350
9	5356	369600
10	5881	368375
11	6406	367318
12	6549	346141
13	7039	344920
14	7424	339058
15	7879	336829
16	8407	337765
17	8941	338783
18	9110	326549
19	9492	322752
20	9881	319488
21	10428	321402
22	10944	322136
23	11360	319975
24	11717	316365
25	12221	316814
26	12434	309952
27	13021	312515
28	13433	310833
29	13577	303234
30	13712	295935
31	14222	296903
32	14454	292156
33	14998	293792
34	15400	292617
35	15875	292812
36	16415	294149
37	16808	292821
38	17205	291604
39	17720	292384
40	18248	293314
41	18365	287730
42	18894	288697
43	19088	284596
44	19258	280325
45	19828	281904
46	20221	280955
47	20757	281955
48	21276	282679
49	21820	283672
50	22227	282862
51	22652	282280
52	23176	282931
53	23351	279351
54	23843	279614
55	24039	276450
56	24196	272954
57	24343	269455
58	24541	266631
59	24743	263926
60	25259	264608
61	25750	264983
62	25912	262008
63	26096	259335
64	26359	257509
65	26466	254243
66	26956	254683
67	27106	251934
68	27237	249081
69	27772	249952
70	28282	250559
71	28731	250598
72	28897	248200
73	29439	249046
74	29971	249759
75	30469	250168
76	30958	250480
77	31468	250939
78	31831	250216
79	32325	250519
80	32470	248141
81	32822	247368
82	32985	245208
83	33178	243307
84	33657	243519
85	34161	243897
86	34333	241911
87	34864	242469
88	35232	241879
89	35386	239841
90	35900	240254
91	36423	240709
92	36591	238826
93	37021	238668
94	37373	238007
95	37944	238731
96	38176	237326
97	38317	235377
98	38715	235030
99	39223	235339
100	39382	233564
101	39927	234082
102	40027	232003
103	40495	232068
104	41037	232547
105	41193	230838
106	41507	230034
107	41734	228766
108	41861	226973
109	42017	225364
110	42234	224107
111	42643	223880
112	43194	224383
113	43485	223532
114	43608	221834
115	43765	220335
116	43923	218864
117	44422	219101
118	44594	217727
119	44978	217398
120	45188	216232
121	45674	216392
122	46004	215808
123	46500	216001
124	47040	216384
125	47353	215723
126	47735	215373
127	48047	214711
128	48573	215005
129	48818	214049
130	49283	214062
131	49599	213427
132	49975	213053
133	50138	211780
134	50607	211802
135	50803	210684
136	50960	209421
137	51139	208262
138	51368	207322
139	51565	206260
140	51852	205570
141	52132	204858
142	52362	203958
143	52600	203096
144	52815	202154
145	53060	201340
146	53219	200206
147	53421	199246
148	53573	198112
149	53813	197315
150	54016	196390
151	54203	195417
152	54392	194463
153	54505	193245
154	54662	192199
155	54784	191044
156	54944	190031
157	55166	189242
158	55431	188605
159	55608	187678
160	55770	186708
161	55975	185894
162	56143	184964
163	56399	184330
164	56509	183229
165	56665	182284
166	56834	181393
167	57068	180716
168	57223	179796
169	57332	178743
170	57481	177823
171	57751	177284
172	57907	176400
173	58057	175508
174	58332	174996
175	58490	174142
176	58772	173660
177	58947	172867
178	59087	171981
179	59241	171140
180	59388	170291
181	59634	169729
182	59765	168846
183	59916	168025
184	60062	167200
185	60278	166576
186	60425	165765
187	60555	164917
188	60694	164099
189	60869	163386
190	61004	162572
191	61168	161840
192	61358	161184
193	61595	160657
194	61749	159914
195	61911	159200
196	62085	158522
197	62241	157804
198	62476	157289
199	62583	156458
200	62750	155784
201	62919	155119
202	63174	154668
203	63377	154095
204	63551	153453
205	63820	153046
206	63947	152300
207	64146	151731
208	64303	151066
209	64455	150396
210	64647	149822
211	64840	149255
212	65018	148656
213	65156	147972
214	65303	147312
215	65471	146703
216	65607	146029
217	65737	145345
218	65918	144779
219	66174	144380
220	66357	143823
221	66537	143265
222	66712	142699
223	66911	142187
224	67095	141645
225	67243	141031
226	67374	140388
227	67497	139731
228	67654	139150
229	67896	138744
230	68141	138347
231	68298	137775
232	68474	137242
233	68728	136869
234	68866	136268
235	68993	135648
236	69122	135036
237	69294	134512
238	69454	133968
239	69674	133543
240	69789	132918
241	69979	132440
242	70112	131857
243	70234	131257
244	70498	130926
245	70687	130456
246	70870	129977
247	71190	129749
248	71393	129310
249	71502	128703
250	71612	128104
251	71850	127734
252	71976	127168
253	72257	126876
254	72382	126314
255	72524	125784
256	72635	125204
257	72804	124727
258	72989	124278
259	73175	123834
260	73376	123418
261	73673	123163
262	73934	122849
263	74059	122309
264	74266	121908
265	74451	121473
266	74611	120998
267	74751	120495
268	75060	120263
269	75262	119862
270	75423	119398
271	75691	119103
